learner,tuner,rep,pehe,pehe_plug
x_cb,random,0,0.09982769173952143,0.32591498383449835
x_cb,random,1,0.37348401499110045,0.8097331675583285
x_cb,random,2,0.18351437742853619,0.43669024347584356
x_cb,random,3,0.2702333003999907,0.4364014509682298
x_cb,random,4,0.1128670172557572,0.4207160278768995
x_cb,random,5,0.1475426255586594,0.49586517925235973
x_cb,random,6,0.14750513757520003,0.3713956369471331
x_cb,random,7,0.09803009806947321,0.18737160111435455
x_cb,random,8,0.1711750185707,0.4785051824350988
x_cb,random,9,0.165838915844038,0.28518781994708087
x_cb,random,10,0.15675797786458331,0.3125933853384906
x_cb,random,11,0.14260069784784532,0.3504012852348425
x_cb,random,12,0.21369721899797697,0.5259228194513862
x_cb,random,13,0.10371879933775784,0.3092647006272358
x_cb,random,14,0.086186357851618,0.43240581022939995
x_cb,random,15,0.13883235023252108,0.2553859561577174
x_cb,random,16,0.15429987365954514,0.33843195521233654
x_cb,random,17,0.11797030581111635,0.272930920661447
x_cb,random,18,0.12431901906466274,0.44116402911005603
x_cb,random,19,0.1490171312142151,0.37633379145141965
x_cb,random,20,0.1313196415847869,0.25817705960988885
x_cb,random,21,0.171454016747315,0.6109070155304059
x_cb,random,22,0.12549275334728605,0.2670989804664996
x_cb,random,23,0.12433565382357022,0.3522837125826714
x_cb,random,24,0.10141319878719623,0.17687394257332806
x_cb,random,25,0.2678374545507875,0.5203608518699255
x_cb,random,26,0.17862953904537066,0.3890163727916395
x_cb,random,27,0.18595813584978946,0.2596461855338196
x_cb,random,28,0.26869890764691706,0.39105259386999763
x_cb,random,29,0.1162809701518681,0.5212063633004684
x_cb,bayes,0,0.09677014628419586,0.3071350125178325
x_cb,bayes,1,0.3794130488438597,0.8424934945176562
x_cb,bayes,2,0.1186955395824661,0.3064787835405741
x_cb,bayes,3,0.26471820176451283,0.31232850437641485
x_cb,bayes,4,0.09571568571915728,0.30357974173992114
x_cb,bayes,5,0.16220300709005944,0.3293419925517886
x_cb,bayes,6,0.14441003293220647,0.31556923866933584
x_cb,bayes,7,0.1390284432682552,0.3493706710191437
x_cb,bayes,8,0.191716693837715,0.5594016349662823
x_cb,bayes,9,0.0990895536266124,0.1980643420134145
x_cb,bayes,10,0.11970739114845602,0.2865144746827247
x_cb,bayes,11,0.1755497061910177,0.3604791113680176
x_cb,bayes,12,0.22891555035008437,0.43965088054430734
x_cb,bayes,13,0.09711721288379836,0.2521290832569202
x_cb,bayes,14,0.09855143220632223,0.49229228293065413
x_cb,bayes,15,0.19455507417818654,0.1898339688977686
x_cb,bayes,16,0.18291385781855565,0.43242857208354407
x_cb,bayes,17,0.12871990811460102,0.316840417429423
x_cb,bayes,18,0.14114769626587645,0.3628997474458379
x_cb,bayes,19,0.17881885409900172,0.3327858493916114
x_cb,bayes,20,0.10764997408957891,0.2127280529186191
x_cb,bayes,21,0.1430604752112054,0.4623985013476972
x_cb,bayes,22,0.1097985603417619,0.2543730919137218
x_cb,bayes,23,0.16356073873593738,0.2188227242078543
x_cb,bayes,24,0.07400946444497122,0.15344513286380812
x_cb,bayes,25,0.23802913637064504,0.37560262376476816
x_cb,bayes,26,0.1681569891776012,0.20924301878016324
x_cb,bayes,27,0.17127001231485478,0.3173747138890735
x_cb,bayes,28,0.2755363119413525,0.2571716909232605
x_cb,bayes,29,0.09690479678445914,0.3838341104176551
