learner,dimension,n_reps,n_iterations,mean_final_score,mean_pred_std,mean_abs_error
x_cb,1d,30,50,1.1985238498425876,2.653728288521163e-06,0.00522272296302242
x_cb,2d,30,60,1.2546273565312922,6.436125462177946e-06,0.004867751751134046
x_cb,4d,30,80,1.1549735457383294,8.867316068658472e-06,0.0006972311154774443
x_cb,6d,30,100,1.1616045750151065,9.564826669690938e-06,6.310952786228174e-05
x_rf,1d,30,50,1.2501721816439426,4.902358767781451e-06,1.171699774242067e-12
x_rf,2d,30,60,1.25998178469132,9.31657980585366e-06,4.615988332308992e-11
x_rf,4d,30,80,1.2095479965812717,5.542502384318358e-06,0.0009082573354027994
x_rf,6d,30,100,1.2353807481311434,8.015492251675582e-06,0.00022988415439428126
