learner,dimension,rep,bayes_final_tuning_mse,bayes_pehe,random_final_tuning_mse,random_pehe,delta_mse_bayes_minus_random,delta_pehe_bayes_minus_random
x_cb,1d,0,1.1242209160506542,0.1138428174816081,1.1286333278678975,0.1126091693823995,-0.004412411817243278,0.0012336480992086035
x_cb,1d,1,1.1229442785053163,0.3539047452290138,1.1218155126978673,0.3550232947862663,0.001128765807449028,-0.0011185495572525461
x_cb,1d,2,1.2176983460273034,0.1238917259989055,1.2171202267611658,0.1286281301355553,0.0005781192661376,-0.004736404136649802
x_cb,1d,3,1.1176187404469191,0.2587581130839447,1.1207480141047317,0.2651494257527665,-0.00312927365781257,-0.006391312668821814
x_cb,1d,4,1.196794820929809,0.1234873948498204,1.193948001170725,0.1235739000989516,0.0028468197590838518,-8.650524913120239e-05
x_cb,1d,5,1.1428420772592909,0.1287479922499808,1.145325398553239,0.1242043812151412,-0.0024833212939481264,0.0045436110348395925
x_cb,1d,6,1.1006947826208042,0.1232071235207603,1.1068443798986316,0.132732357960363,-0.006149597277827379,-0.009525234439602709
x_cb,1d,7,1.1663087700477548,0.1052104718383119,1.1722300247648538,0.0960114532476919,-0.005921254717099034,0.00919901859062
x_cb,1d,8,1.2054173149508007,0.1722278671681192,1.2041680259140268,0.1733947325221036,0.001249289036773904,-0.0011668653539844143
x_cb,1d,9,1.1814886205273654,0.1194112723525319,1.1860463016239005,0.1354201518484409,-0.004557681096535093,-0.016008879495908984
x_cb,1d,10,1.1472233421068336,0.1092578747312864,1.1467712333543856,0.1172126878069057,0.00045210875244805493,-0.007954813075619308
x_cb,1d,11,1.1615630646270858,0.1345962364942598,1.1708690547317997,0.1401221247506793,-0.00930599010471389,-0.005525888256419503
x_cb,1d,12,1.2281726344818849,0.1972967714092077,1.2295145703811112,0.1972598161061253,-0.0013419358992263763,3.6955303082397695e-05
x_cb,1d,13,1.1669356055169446,0.108902518425899,1.1634807193621894,0.1136505548628671,0.003454886154755199,-0.004748036436968098
x_cb,1d,14,1.109914645909745,0.0852658143613789,1.1070747674478802,0.0880941640382901,0.002839878461864842,-0.0028283496769112015
x_cb,1d,15,1.219035270309473,0.1484768787078689,1.226451291911893,0.152919510055778,-0.007416021602420164,-0.004442631347909093
x_cb,1d,16,1.2503605061030052,0.1567121857690273,1.2553586288600345,0.1660601119966578,-0.004998122757029266,-0.009347926227630504
x_cb,1d,17,1.1555980264014187,0.1036539068187271,1.1567375678328158,0.1139003506997552,-0.0011395414313970509,-0.010246443881028092
x_cb,1d,18,1.163144824393381,0.0932157579828891,1.163253621898502,0.0956342016931404,-0.00010879750512082786,-0.0024184437102512946
x_cb,1d,19,1.2276901735510195,0.178992040531339,1.2307835466524966,0.1797078625856995,-0.0030933731014770594,-0.0007158220543605209
x_cb,1d,20,1.174452697021738,0.1113399034105866,1.1705351449753818,0.1118232633272933,0.003917552046356132,-0.0004833599167066993
x_cb,1d,21,1.187283164081741,0.1381041606150498,1.1892354765534705,0.1467222046757511,-0.001952312471729556,-0.008618044060701296
x_cb,1d,22,1.1328827542251814,0.1224162393842437,1.1375879342675437,0.1224905255064613,-0.004705180042362311,-7.428612221760389e-05
x_cb,1d,23,1.1823663577507662,0.1413723192045438,1.1863869963386282,0.1347935908332347,-0.004020638587862058,0.0065787283713091005
x_cb,1d,24,1.2536633229772078,0.0763635122905657,1.261322903959173,0.0851390380577279,-0.007659580981965064,-0.008775525767162201
x_cb,1d,25,1.1146603012172227,0.2015050142123352,1.1176779575108016,0.2213809970906308,-0.003017656293578863,-0.019875982878295617
x_cb,1d,26,1.1926955969681952,0.1603865472275195,1.1964072213278367,0.1545879072258802,-0.0037116243596415632,0.005798640001639294
x_cb,1d,27,1.1821004759310132,0.2019475833442092,1.182068302623888,0.2086933514702242,3.217330712512734e-05,-0.006745768126014989
x_cb,1d,28,1.1098200623644614,0.2255456637559314,1.1112815501972706,0.220427831844791,-0.001461487832809194,0.0051178319111404025
x_cb,1d,29,1.2047925284446943,0.1046961939541989,1.2041342423947827,0.1140093883131263,0.0006582860499115828,-0.009313194358927412
x_cb,2d,0,1.1057025970036891,0.105142118673547,1.1409248105737204,0.127492250302942,-0.0352222135700313,-0.022350131629395004
x_cb,2d,1,1.0964533487963184,0.3382529173183055,1.1340242961230886,0.3573375324219658,-0.03757094732677024,-0.01908461510366033
x_cb,2d,2,1.1857834872276884,0.1144772866818071,1.233622180861257,0.1720271466813259,-0.04783869363356863,-0.05754985999951881
x_cb,2d,3,1.0849052193780997,0.2451434373120342,1.1314808227471953,0.2848881576013714,-0.04657560336909561,-0.039744720289337176
x_cb,2d,4,1.186923689769788,0.1020629184577132,1.2111890980461717,0.1476817645296373,-0.024265408276383793,-0.045618846071924096
x_cb,2d,5,1.1186577330050351,0.1176987281201385,1.1793998400858448,0.1425109819434694,-0.060742107080809626,-0.024812253823330896
x_cb,2d,6,1.0861103024939949,0.1187463990461695,1.102772942992974,0.1494622844497764,-0.016662640498979142,-0.03071588540360691
x_cb,2d,7,1.1409441483050753,0.0957730363524662,1.1975941531673957,0.1318984565120047,-0.05665000486232041,-0.03612542015953851
x_cb,2d,8,1.1749884838197786,0.157717190188811,1.2228141553539686,0.1696831897631283,-0.04782567153419004,-0.011965999574317293
x_cb,2d,9,1.1738514234536803,0.1213529865538493,1.1964176853090738,0.1319351865506102,-0.022566261855393455,-0.01058219999676091
