learner,dimension,n_pairs,bayes_mean_pehe,random_mean_pehe,bayes_win_count,random_win_count,tie_count,bayes_win_rate,random_win_rate,tie_rate
x_cb,1d,30,0.14742455488013548,0.1510458826630233,23,7,0,0.7666666666666667,0.23333333333333334,0.0
x_cb,2d,30,0.13744621848006192,0.170756365114387,30,0,0,1.0,0.0,0.0
x_cb,4d,30,0.14328845587905062,0.13818855755911547,11,19,0,0.36666666666666664,0.6333333333333333,0.0
x_cb,6d,30,0.15952444985391023,0.16096127336165683,16,14,0,0.5333333333333333,0.4666666666666667,0.0
x_rf,1d,30,0.15303028780999162,0.15303028780999162,0,0,30,0.0,0.0,1.0
x_rf,2d,30,0.14555928252133613,0.14454646409619187,11,11,8,0.36666666666666664,0.36666666666666664,0.26666666666666666
x_rf,4d,30,0.15578614460564846,0.15386939183564613,14,16,0,0.4666666666666667,0.5333333333333333,0.0
x_rf,6d,30,0.15636740590285095,0.1490091934198911,11,19,0,0.36666666666666664,0.6333333333333333,0.0
