learner,dimension,n_pairs,mean_delta_mse_bayes_minus_random,mean_delta_pehe_bayes_minus_random,pearson_r,pearson_pvalue,spearman_rho,spearman_pvalue,bayes_better_both,bayes_better_mse_worse_pehe,bayes_worse_mse_better_pehe,random_better_both,ties_on_any_axis
x_cb,1d,30,-0.0021142641396631134,-0.0036213277828878506,0.06491041317372738,0.7332679450781392,0.06384872080088987,0.7374770663068841,13,7,10,0,0
x_cb,2d,30,-0.03842456651820288,-0.033310146634325064,-0.03322507272787088,0.8616325264579805,-0.0028921023359288096,0.9878984726602261,30,0,0,0,0
x_cb,4d,30,-0.007977270321760255,0.005099898319935176,-0.4969006835649802,0.0052164394919992085,-0.5194660734149055,0.0032629966132636163,8,18,3,1,0
x_cb,6d,30,-0.018042636868789094,-0.0014368235077466009,0.3751109742048997,0.04109890791360088,0.32858731924360396,0.07624980782392135,16,14,0,0,0
x_rf,1d,30,0.0,0.0,,,,,0,0,0,0,30
x_rf,2d,30,-0.0014840817218157406,0.0010128184251442633,0.2698231159952206,0.1493057232479933,0.2759011562004081,0.1400032383190008,11,9,0,2,8
x_rf,4d,30,-0.008642325924880753,0.001916752770002346,-0.22890353428290167,0.223711919975529,-0.23915461624026696,0.2030855784509888,12,14,2,2,0
x_rf,6d,30,-0.005546530368700556,0.007358212482959818,0.23051569523233373,0.2203777119126051,0.18531701890989988,0.3268788409998812,10,16,1,3,0
