learner,tuner,rep,pehe,pehe_plug,dimension,final_tuning_mse
x_cb,bayes,0,0.1138428174816081,0.2948482259006138,1d,1.1242209160506542
x_cb,bayes,1,0.3539047452290138,0.5303317316695533,1d,1.1229442785053163
x_cb,bayes,2,0.1238917259989055,0.256475998510876,1d,1.2176983460273034
x_cb,bayes,3,0.2587581130839447,0.3272362130054083,1d,1.1176187404469191
x_cb,bayes,4,0.1234873948498204,0.4060109023896431,1d,1.196794820929809
x_cb,bayes,5,0.1287479922499808,0.3195899494099249,1d,1.1428420772592909
x_cb,bayes,6,0.1232071235207603,0.3071456718848358,1d,1.1006947826208042
x_cb,bayes,7,0.1052104718383119,0.3068981767780085,1d,1.1663087700477548
x_cb,bayes,8,0.1722278671681192,0.5206387993189278,1d,1.2054173149508007
x_cb,bayes,9,0.1194112723525319,0.2393266152237063,1d,1.1814886205273654
x_cb,bayes,10,0.1092578747312864,0.2887985678983226,1d,1.1472233421068336
x_cb,bayes,11,0.1345962364942598,0.2778172345806778,1d,1.1615630646270858
x_cb,bayes,12,0.1972967714092077,0.4251159928845336,1d,1.2281726344818849
x_cb,bayes,13,0.108902518425899,0.24446310733913,1d,1.1669356055169446
x_cb,bayes,14,0.0852658143613789,0.3782471021683875,1d,1.109914645909745
x_cb,bayes,15,0.1484768787078689,0.20536837619093,1d,1.219035270309473
x_cb,bayes,16,0.1567121857690273,0.3405203629142462,1d,1.2503605061030052
x_cb,bayes,17,0.1036539068187271,0.2648089039919211,1d,1.1555980264014187
x_cb,bayes,18,0.0932157579828891,0.2919290912266621,1d,1.163144824393381
x_cb,bayes,19,0.178992040531339,0.3472095646944713,1d,1.2276901735510195
x_cb,bayes,20,0.1113399034105866,0.203373261819367,1d,1.174452697021738
x_cb,bayes,21,0.1381041606150498,0.4326264249417901,1d,1.187283164081741
x_cb,bayes,22,0.1224162393842437,0.2946988960235673,1d,1.1328827542251814
x_cb,bayes,23,0.1413723192045438,0.3476137726090706,1d,1.1823663577507662
x_cb,bayes,24,0.0763635122905657,0.1578244586125332,1d,1.2536633229772078
x_cb,bayes,25,0.2015050142123352,0.3639084849920115,1d,1.1146603012172227
x_cb,bayes,26,0.1603865472275195,0.263112207300196,1d,1.1926955969681952
x_cb,bayes,27,0.2019475833442092,0.2504599356318162,1d,1.1821004759310132
x_cb,bayes,28,0.2255456637559314,0.2904927869076509,1d,1.1098200623644614
x_cb,bayes,29,0.1046961939541989,0.4037374890069492,1d,1.2047925284446943
x_cb,random,0,0.1126091693823995,0.3014869961306644,1d,1.1286333278678975
x_cb,random,1,0.3550232947862663,0.5328656656890168,1d,1.1218155126978673
x_cb,random,2,0.1286281301355553,0.2695894667519103,1d,1.2171202267611658
x_cb,random,3,0.2651494257527665,0.3287024204851757,1d,1.1207480141047317
x_cb,random,4,0.1235739000989516,0.4060350466776569,1d,1.193948001170725
x_cb,random,5,0.1242043812151412,0.3081509077442321,1d,1.145325398553239
x_cb,random,6,0.132732357960363,0.3399613800844997,1d,1.1068443798986316
x_cb,random,7,0.0960114532476919,0.2953942803321239,1d,1.1722300247648538
x_cb,random,8,0.1733947325221036,0.5358461829813715,1d,1.2041680259140268
x_cb,random,9,0.1354201518484409,0.2783490054067671,1d,1.1860463016239005
x_cb,random,10,0.1172126878069057,0.3106340245126386,1d,1.1467712333543856
x_cb,random,11,0.1401221247506793,0.2904068864845439,1d,1.1708690547317997
x_cb,random,12,0.1972598161061253,0.4629884846487372,1d,1.2295145703811112
x_cb,random,13,0.1136505548628671,0.2418307122326563,1d,1.1634807193621894
x_cb,random,14,0.0880941640382901,0.3931691248043477,1d,1.1070747674478802
x_cb,random,15,0.152919510055778,0.206152561077799,1d,1.226451291911893
x_cb,random,16,0.1660601119966578,0.3511676265972805,1d,1.2553586288600345
x_cb,random,17,0.1139003506997552,0.2962083685368493,1d,1.1567375678328158
x_cb,random,18,0.0956342016931404,0.3225490902906666,1d,1.163253621898502
x_cb,random,19,0.1797078625856995,0.3577977362993886,1d,1.2307835466524966
x_cb,random,20,0.1118232633272933,0.2072026948961967,1d,1.1705351449753818
x_cb,random,21,0.1467222046757511,0.4857393490296792,1d,1.1892354765534705
x_cb,random,22,0.1224905255064613,0.2891225399135212,1d,1.1375879342675437
x_cb,random,23,0.1347935908332347,0.3820176133411539,1d,1.1863869963386282
x_cb,random,24,0.0851390380577279,0.1759980370982484,1d,1.261322903959173
x_cb,random,25,0.2213809970906308,0.3855770310200843,1d,1.1176779575108016
x_cb,random,26,0.1545879072258802,0.2690169785111885,1d,1.1964072213278367
x_cb,random,27,0.2086933514702242,0.2718449318673728,1d,1.182068302623888
x_cb,random,28,0.220427831844791,0.2951914901987973,1d,1.1112815501972706
x_cb,random,29,0.1140093883131263,0.4401675586932261,1d,1.2041342423947827
x_cb,bayes,0,0.105142118673547,0.3293424209000374,2d,1.1057025970036891
x_cb,bayes,1,0.3382529173183055,0.5948709176805186,2d,1.0964533487963184
x_cb,bayes,2,0.1144772866818071,0.3044008896153659,2d,1.1857834872276884
x_cb,bayes,3,0.2451434373120342,0.3604417886241776,2d,1.0849052193780997
x_cb,bayes,4,0.1020629184577132,0.3723150384929137,2d,1.186923689769788
x_cb,bayes,5,0.1176987281201385,0.3543410806519641,2d,1.1186577330050351
x_cb,bayes,6,0.1187463990461695,0.3195696605247493,2d,1.0861103024939949
x_cb,bayes,7,0.0957730363524662,0.3193166099098508,2d,1.1409441483050753
x_cb,bayes,8,0.157717190188811,0.4927633435738907,2d,1.1749884838197786
x_cb,bayes,9,0.1213529865538493,0.2310466623845178,2d,1.1738514234536803
x_cb,bayes,10,0.1022877795582111,0.2624848089047271,2d,1.1334128628601154
x_cb,bayes,11,0.1098923370501559,0.2338890604902641,2d,1.1193754361785802
x_cb,bayes,12,0.1934949866379514,0.4005078870817517,2d,1.1906550039793105
x_cb,bayes,13,0.0764523528102406,0.2173702935425253,2d,1.149717016214267
x_cb,bayes,14,0.0784415870099342,0.3628551293754353,2d,1.0797379760796553
x_cb,bayes,15,0.1271887838853209,0.2444849849226605,2d,1.198696193823162
x_cb,bayes,16,0.1621454035213611,0.3376821725606539,2d,1.214965118546826
x_cb,bayes,17,0.1050882932661059,0.2491851230971035,2d,1.140194837130086
x_cb,bayes,18,0.0900116148535601,0.3131213941590761,2d,1.131086288470831
x_cb,bayes,19,0.1703783458074086,0.3527511136640107,2d,1.206915641889386
x_cb,bayes,20,0.1051752242335097,0.1902574858891492,2d,1.1296706393063811
x_cb,bayes,21,0.1330406662628945,0.4758279713017441,2d,1.1529172789367346
x_cb,bayes,22,0.1158786725330355,0.2373902704797842,2d,1.0999512160165594
x_cb,bayes,23,0.1351202897504715,0.37087082676819,2d,1.170118009435852
x_cb,bayes,24,0.0691364283654879,0.170075562294006,2d,1.2210357583849116
x_cb,bayes,25,0.2054069826883362,0.4036824115036177,2d,1.1129913446809665
x_cb,bayes,26,0.1485856408906088,0.2888538962122832,2d,1.15473922014345
x_cb,bayes,27,0.1908259736044149,0.2560041386794419,2d,1.1607079963810063
x_cb,bayes,28,0.1991318213290075,0.275189508975565,2d,1.090397704055334
x_cb,bayes,29,0.0893363516390004,0.3500852692096192,2d,1.1729090413800016
x_cb,random,0,0.127492250302942,0.2819485728174726,2d,1.1409248105737204
x_cb,random,1,0.3573375324219658,0.6528462580651855,2d,1.1340242961230886
x_cb,random,2,0.1720271466813259,0.397771752596212,2d,1.233622180861257
x_cb,random,3,0.2848881576013714,0.4636518972697621,2d,1.1314808227471953
x_cb,random,4,0.1476817645296373,0.550354261954755,2d,1.2111890980461717
